Preprocessor Directive : #include
Header File : <stdio.h>

Keyword : int
Identifier : main
Delimiter : (
Delimiter : )
Delimiter : {

Keyword : int
Identifier : a
Operator : =
Number : 10
Delimiter : ;

Keyword : float
Identifier : b
Operator : =
Number : 20
Delimiter : ;

Keyword : if
Delimiter : (
Identifier : a
Operator : <
Identifier : b
Delimiter : )

Delimiter : {

Identifier : a
Operator : =
Identifier : a
Operator : +
Number : 1
Delimiter : ;

Delimiter : }

Keyword : return
Number : 0
Delimiter : ;

Delimiter : }

End of file
